CITATIONKEY|TITLE|AUTHORS|YEAR|DOI|FROMSEARCH|WORKTYPE|PUBLISHED_IN|DATABASES|PREPROCESSINGS|ATTRIBUTES|PREDICTIVE_MODELS|KEYPOINTS|TASKS|RATES|PHILOSOPHY|NOTES
ISI:000368591300013|3D fast wavelet network model-assisted 3D face recognition|Said, Salwa and Jemai, Olfa and Zaied, Mourad and {Ben Amar}, Chokri|2015|10.1117/12.2228368|scopus, webofscience|periodico|Eighth International Conference on Machine Vision (ICMV 2015)|FRGC v2.0|voxelização|coeficientes wavelet; coeficientes da NN|KNN_euclidean|NENHUM|identification|Entre 82.00 e 93.00|holístico|escolha dos conjunto de treinamento e teste foram bem arbitrários (1/3, 2/3); reconhecimento robusto a expressões
Ratyal2015241|3D face recognition based on pose and expression invariant alignment|Ratyal, Naeem Iqbal and Taj, Imtiaz Ahmad and Bajwa, Usama Ijaz and Sajid, Muhammad|2015|10.1016/j.compeleceng.2015.06.007|scopus, webofscience|periodico|Computers and Electrical Engineering|GavabDB; FRGC v2.0|filtro da mediana; interpolação linear; smoothing|distância mahalanobis cosseno|PCA|nosetip; left inner eye corner; right inner eye corner|identification|95.08, 100 / 94.15, 98.93|holístico|registro que é invariante a expressões e poses, não reconhecimento; escolha de ROIs
Belghini2015317|3D face recognition using facial curves, sparse random projection and fuzzy similarity measure|Belghini, Naouar and Ezghari, Soufiane and Zahi, Azeddine|2015|10.1109/CIST.2014.7016639|scopus|conferencia|Colloquium in Information Science and Technology, CIST|FRAV3D DB|NENHUM|curvas isogeodésicas|Fuzzy-based|nosetip|identification|Entre 87.33 e 99.96|holístico|primeiro artigo a usar uma abordagem Fuzzy
ISI:000371977803154|A 3D face recognition method using region-based extended local binary pattern|Lv, Shiwen and Da, Feipeng and Deng, Xing|2015|10.1109/ICIP.2015.7351482|ieeexplore, scopus, webofscience|conferencia|Proceedings - International Conference on Image Processing, ICIP|FRGC v2.0|filtro gaussiano; interpolação bicúbica; crop do nariz; alinhamento com PCA|eLBP|W-SRC|nosetip|identification|97.80|local|gera depthimage; escolha de ROIs; reconhecimento robusto a expressões
ISI:000380516600072|3D face recognition with asymptotic cones based principal curvatures|Tang, Yinhang and Sun, Xiang and Huang, Di and Morvan, Jean Marie and Wang, Yunhong and Chen, Liming|2015|10.1109/ICB.2015.7139111|ieeexplore, scopus, webofscience|conferencia|Proceedings of 2015 International Conference on Biometrics, ICB 2015|FRGC v2.0|remoção de outliers; preenchimento de buracos; alinhamento com ICP; normalização da face|curvaturas; LNP; descritores multi-escala de Borel|W-SRC|nosetip; left inner eye corner; right inner eye corner; left outer eye corner; right outer eye corner|identification; verification|93.16, 93.33|holístico|gera depthimage; contribuição maior foi a introdução de novos descritores de curvatura
Liang:2015:BMD:2805325.2805648|Bayesian multi-distribution-based discriminative feature extraction for 3D face recognition|Liang, Ronghua and Shen, Wenjia and Li, Xiao Xin and Wang, Haixia|2015|10.1016/j.ins.2015.03.063|scopus, webofscience|periodico|Information Sciences|3D_RMA; CASIA HFB|remoção de outliers; interpolação linear; crop do nariz; alinhamento com nariz|similaridade estatística; curvas isogeodésicas|Distância MahalanobisCosine|nosetip|identification|69.20 / 66.70|holístico|gera depthimage; as ROIs não se sobrepoem; as bases usadas são de baixíssima resolução
Lagorio2015|A 3D algorithm for unsupervised face identification|Lagorio, A. and Cadoni, M. and Grosso, E. and Tistarelli, M.|2015|10.1109/IWBF.2015.7110239|ieeexplore, scopus, webofscience|periodico|3rd International Workshop on Biometrics and Forensics, IWBF 2015|Bosphorus|NENHUM|assinatura multiescala|RMSE|nosetip|identification|Entre 45.00 e 99.00|holístico|não faz pré-processamento, mas a bosphorus por si só já é bastante pré-processada; baseado em registro
ISI:000391534900063|Boosting Radial Strings for 3D Face Recognition with Expressions and Occlusions|Yu, Xun and Gao, Yongsheng and Zhou, Jun|2016|10.1109/DICTA.2016.7797014|ieeexplore, scopus, webofscience|conferencia|2016 International Conference on Digital Image Computing: Techniques and Applications, DICTA 2016|GavabDB; Bosphorus|remoção de outliers RANSAC; crop do nariz; subamostragem com voxelgrid; filtro da mediana; alinhamento par-a-par com ICP recursivo|curvas isogeodésicas|Matriz de Similiaridade; AdaBoost|nosetip; left inner eye corner; right inner eye corner|identification|95.00, 82.90, 86.10 / 96.10, 96.10, 94.20, 97.20, 95.30|local|robusto a expressões e a oclusões; usa algoritmo adaboost para seleção das curvas ótimas; possível overfit por conta de valores empíricos; erro no conjunto de treinamento Bosphorus
Ganguly2016275|3D face recognition from complement component range face images|Ganguly, Suranjan and Bhattachaijee, Debotosh and Nasipuri, Mita|2016|10.1109/CGVIS.2015.7449936|scopus|conferencia|2015 IEEE International Conference on Computer Graphics, Vision and Information Security, CGVIS 2015|FRAV3D DB; Texas 3D|NENHUM|autovalores|SVM|NENHUM|identification|95.87 / 96.89|local|gera depthimage
ISI:000390841700083|Gabor-SVM applied to 3D-2D deformed mesh model|Torkhani, Ghada and Ladgham, Anis and Mansouri, Mohamed Nejib and Sakly, Anis|2016|10.1109/ATSIP.2016.7523133|ieeexplore, scopus, webofscience|conferencia|2nd International Conference on Advanced Technologies for Signal and Image Processing, ATSIP 2016|3D AJMAL|triangularização; interpolação linear; filtro laplaciano; filtro da mediana|depthimage filtrada com wavelet Gabor|SVM|NENHUM|identification|99.05|holístico|gera depthimage
